eps,min_samples,median_home_accuracy,mean_home_accuracy,median_work_accuracy,mean_work_accuracy,home_centroid_mean_distance,work_centroid_mean_distance,mean_home_sensitivity,median_home_sensitivity,mean_work_sensitivity,median_work_sensitivity,mean_home_specificity,median_home_specificity,mean_work_specificity,median_work_specificity,mean_home_balanced_accuracy,median_home_balanced_accuracy,mean_work_balanced_accuracy,median_work_balanced_accuracy,mean_home_f1,median_home_f1,mean_work_f1,median_work_f1
250,99,1.0,1.0,1.0,0.999909090909091,-0.5592618195000323,1.1233513407061924,1.0,1.0,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998999999999999,1.0,1.0,1.0,0.9998994974874372,1.0
200,69,1.0,1.0,1.0,1.0,-0.5592618195000323,1.12289833417539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,74,1.0,1.0,1.0,1.0,-0.5592618195000323,1.12289833417539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
250,49,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
300,99,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
200,14,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
200,19,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
200,24,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
200,34,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
200,39,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
200,44,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
200,49,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
200,54,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
200,59,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
200,64,1.0,0.9999545454545455,1.0,1.0,-0.5984779638195695,1.12289833417539,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,1.0,1.0,0.9999583333333334,1.0,1.0,1.0,0.999950248756219,1.0,1.0,1.0
300,94,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
200,4,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
300,89,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
300,84,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
250,54,1.0,0.9999545454545455,1.0,0.9999545454545455,-0.5984779638195695,1.1632909698277312,1.0,1.0,1.0,1.0,0.9999166666666668,1.0,0.9999166666666668,1.0,0.9999583333333334,1.0,0.9999583333333334,1.0,0.999950248756219,1.0,0.999950248756219,1.0
